4546572015@Theni- Madurai, India@9.9321764@78.0845602
5543102015@Naugarh-Ii (Barhani)- Basti, India@26.6710519@82.5990372
1437161429@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437161372@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1067762015@Johannesburg, South Africa@-26.20489@28.04001
1560692015@Moscow, United Kingdom@55.6324@-4.40374
1437161504@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437161540@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
3750292015@Ameca, Mexico@20.54777@-104.04703
1437237907@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
1437161617@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
5543972015@Naugarh-Ii (Barhani)- Basti, India@26.6710519@82.5990372
3568365532@Tokat, Turkey@40.3234643@36.5521928
1436413084@Helensburgh, United Kingdom@56.00685@-4.73188
1436413014@Helensburgh, United Kingdom@56.00685@-4.73188
1436412917@Helensburgh, United Kingdom@56.00685@-4.73188
1436412856@Helensburgh, United Kingdom@56.00685@-4.73188
1436412773@Helensburgh, United Kingdom@56.00685@-4.73188
1436413084@Helensburgh, United Kingdom@56.00685@-4.73188
1436413014@Helensburgh, United Kingdom@56.00685@-4.73188
1436412917@Helensburgh, United Kingdom@56.00685@-4.73188
1436412856@Helensburgh, United Kingdom@56.00685@-4.73188
1436412773@Helensburgh, United Kingdom@56.00685@-4.73188
1488983554@Hungerford, United Kingdom@51.41349@-1.51593
1488983531@Hungerford, United Kingdom@51.41349@-1.51593
1488983578@Hungerford, United Kingdom@51.41349@-1.51593
1488983554@Hungerford, United Kingdom@51.41349@-1.51593
1488983531@Hungerford, United Kingdom@51.41349@-1.51593
1488983578@Hungerford, United Kingdom@51.41349@-1.51593
9554790827@Higashimatsuura District- Saga, Japan@33.475145@129.866532
1178280827@Bristol, United Kingdom@51.45379@-2.59168
1786800827@Stirling, United Kingdom@56.11734@-3.93947
2220520827@Nebit-Dag, Turkmenistan@38.968321@59.562866
2715850827@Viramgam- Ahmedabad, India@23.13508@72.04046
3988530827@Sanmenxia- HEN, China@34.77236@111.20016
9556530827@Higashimatsuura District- Saga, Japan@33.475145@129.866532
1179190827@Bristol, United Kingdom@51.45379@-2.59168
1788250827@Rugby, United Kingdom@52.37036@-1.26079
2221440827@Magdalena, Argentina@-35.08129@-57.5168
2717450827@Sanand- Ahmedabad, India@22.99007@72.37984
3989780827@Sanmenxia- HEN, China@34.77236@111.20016
4636431911@Varna, Ukraine@50.49943@32.72386
4638311911@Vilathikulam- Tuticorin, India@9.13031@78.162422
6298152015@Mariupol, Ukraine@47.097133@37.543367
6895322015@Kadoma (Gatooma), Zimbabwe@-18.33819@29.902809
7979032015@Ahuacatlan, Mexico@21.0533791@-104.4810648
8490852015@Pamuru- Ongole, India@15.48119@80.04757
6299252015@Myrne, Ukraine@44.9703092@34.0581919
6896152015@Kadoma (Gatooma), Zimbabwe@-18.33819@29.902809
7980792015@Macheke, Zimbabwe@-18.13705@31.84819
8491912015@Kanaganapalle- Anantpur (Guntakal), India@15.18026@77.54623
3568365532@Tokat, Turkey@40.3234643@36.5521928
1440630938@Haverhill, United Kingdom@52.08514@0.43582
9741772015@Naoiri District- Oita, Japan@33.22738@131.501167
1147732015@Sheffield, United Kingdom@53.38311@-1.46455
1440630938@Haverhill, United Kingdom@52.08514@0.43582
9742472015@Naoiri District- Oita, Japan@33.22738@131.501167
1148582015@Sheffield, United Kingdom@53.38311@-1.46455
4870831779@Tula region, Russian Federation@53.38311@-1.46455
1282111440@Burnley, United Kingdom@53.78801@-2.24381
4870831779@Tula region, Russian Federation@53.78801@-2.24381
3729382015@Chernivtsi, Ukraine@48.2920787@25.9358367
1282771440@Burnley, United Kingdom@53.78801@-2.24381
3730212015@Berehomet, Ukraine@48.1782952@25.3426628
1357811860@Strathaven, United Kingdom@55.67691@-4.06661
1841101876@Newquay, United Kingdom@50.41549699999999@-5.073719
1358721860@Ellon, United Kingdom@57.36417@-2.07281
1841961876@Newquay, United Kingdom@50.41549699999999@-5.073719
2370021816@Dependencias Federales, Venezuela@10.93094@-65.31656
9811121407@Vittangi, Sweden@67.67747@21.64572
7898200030@Atlapexco, Mexico@21.01691@-98.34804
4962377778@Mariannelund, Sweden@21.01691@-98.34804
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
4962377778@Mariannelund, Sweden@21.504394@82.71767
3568365532@Tokat, Turkey@40.3234643@36.5521928
4298961085@Metturdam- Salem, India@11.66552@78.15164
5332421911@Phoolpur- Allahabad, India@25.54337@82.09239
6424212015@Banka- Bhagalpur, India@24.95449@87.10552
6987582015@Trelawney, Zimbabwe@-17.53533@30.4631
8835855798@Awa District- Tokushima, Japan@33.895305@134.241501
3835281318@Saiha-I- Mizoram (Aizwal), India@23.74675@92.718559
3835281318@Saiha-I- Mizoram (Aizwal), India@23.74675@92.718559
3763132015@Glauchau, Germany@50.82548@12.53845
4457252015@Darganata, Turkmenistan@40.85358@61.97246899999999
4837042015@Fort Portal, Uganda@0.66912@30.28446
5355822015@Komyshnia, Ukraine@50.185068@33.679212
3764042015@Meerane, Germany@50.84815@12.46161
4458162015@Darganata, Turkmenistan@40.85358@61.97246899999999
4837632015@Fort Portal, Uganda@0.66912@30.28446
5356472015@Chervonozavodske, Ukraine@50.40039@33.40036
9603822379@Arvidsjaur, Sweden@65.58977@19.18465
9604792379@Arvidsjaur, Sweden@65.58977@19.18465
4870831779@Tula region, Russian Federation@65.58977@19.18465
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
1488982664@Hungerford, United Kingdom@51.41349@-1.51593
1488982631@Hungerford, United Kingdom@51.41349@-1.51593
1488982664@Hungerford, United Kingdom@51.41349@-1.51593
1488982631@Hungerford, United Kingdom@51.41349@-1.51593
4870831779@Tula region, Russian Federation@51.41349@-1.51593
2941302014@Lippstadt, Germany@51.6712278@8.3406481
9829382015@Candelaria, Mexico@18.18473@-91.04631
3879356854@Bishenpur- Manipur (Imphal), India@24.80758@93.92979
4610264172@Seidi, Turkmenistan@39.63627@62.7865
3880486854@Sadarhills (Kangpokai)- Manipur (Imphal), India@25.14699@93.96916
2226862015@Rheinbach, Germany@50.62577@6.95295
2889382015@Bolívar, Venezuela@50.62577@6.95295
3265602015@Hlyniany, Ukraine@49.82384@24.51368
3710372015@Gislaved-Anderstorp, Sweden@57.28141@13.62844
4601622015@Palanga, Lithuania@57.28141@13.62844
2228082015@Remagen-Rolandseck, Germany@50.6300257@7.2081982
3266362015@Brody, Ukraine@50.0788069@25.1478943
3710932015@Gislaved-Anderstorp, Sweden@57.28141@13.62844
4602412015@Palanga, Lithuania@57.28141@13.62844
1440792117@Haverhill, United Kingdom@52.08514@0.43582
3568365532@Tokat, Turkey@40.3234643@36.5521928
1440792226@Haverhill, United Kingdom@52.08514@0.43582
1440792054@Haverhill, United Kingdom@52.08514@0.43582
1440792360@Haverhill, United Kingdom@52.08514@0.43582
1440605749@Haverhill, United Kingdom@52.08514@0.43582
1440792181@Haverhill, United Kingdom@52.08514@0.43582
1435129981@Heathfield, United Kingdom@50.9667401@0.2564428
1440792436@Haverhill, United Kingdom@52.08514@0.43582
1440605797@Haverhill, United Kingdom@52.08514@0.43582
1440792117@Haverhill, United Kingdom@52.08514@0.43582
7994680727@Mihara District- Hyogo, Japan@NA@NA
8558280727@Tadipatri- Anantpur (Guntakal), India@NA@NA
3568365532@Tokat, Turkey@NA@NA
2384122015@Nilanga- Latur, India@18.12975@76.74882
1437877560@Haverfordwest / Clynderwen, United Kingdom@NA@NA
2385322015@Udgir- Latur, India@18.39328@77.11368
1437877560@Haverfordwest / Clynderwen, United Kingdom@NA@NA
8428905896@Ulyanovsk region, Russian Federation@NA@NA
8818275896@Tadepalligudem- Eluru, India@16.814529@81.525528
8429865896@Ulyanovsk region, Russian Federation@16.814529@81.525528
8818875896@Tadepalligudem- Eluru, India@16.814529@81.525528
8241122015@Loralai, Pakistan@30.3622@68.59538
9646692015@Buenos Aires, Mexico@19.4052965@-99.1504583
1231222015@Valdemarsvik, Sweden@58.20245139999999@16.6013626
1840712015@Camelford, United Kingdom@50.6232@-4.67839
3831572015@Champa-I- Mizoram (Aizwal), India@23.74129@92.71266
4285272015@Gobichettipalayam- Erode, India@11.45497@77.43621
8242232015@Loralai, Pakistan@30.3622@68.59538
9648032015@Buenos Aires, Mexico@19.4052965@-99.1504583
1232122015@Modinagar- Ghaziabad, India@28.83551@77.5762
1841612015@Newquay, United Kingdom@50.41549699999999@-5.073719
3832412015@Novosibirsk, Russian Federation@54.99152@82.957916
4286062015@Namakkal- Salem, India@11.664325@78.1460142
4870831779@Tula region, Russian Federation@11.664325@78.1460142
9487062015@Iizuka- Fukuoka, Japan@33.605419@130.667175
1411915704@Glasgow, United Kingdom@55.85782@-4.24253
1411915794@Glasgow, United Kingdom@55.85782@-4.24253
9488062015@Iizuka- Fukuoka, Japan@33.605419@130.667175
1411915704@Glasgow, United Kingdom@55.85782@-4.24253
1411915794@Glasgow, United Kingdom@55.85782@-4.24253
3568365532@Tokat, Turkey@40.3234643@36.5521928
1794160339@Romsey, United Kingdom@50.98858@-1.49538
3568365532@Tokat, Turkey@40.3234643@36.5521928
6213595140@Velyka Novosilka, Ukraine@47.84052@36.83046
6924115140@Sirajdikhan, Bangladesh@23.59335@90.35957
8773885140@Adigeya, Russian Federation@61.521403@-74.679494
6214885140@Dokuchaievsk, Ukraine@47.758214@37.6772484
6924935140@Sirajdikhan, Bangladesh@23.59335@90.35957
8775625140@Adigeya, Russian Federation@61.521403@-74.679494
1439262473@Helmsley, United Kingdom@54.24599@-1.06077
1440622969@Haverhill, United Kingdom@52.08514@0.43582
1439262473@Helmsley, United Kingdom@54.24599@-1.06077
1439262473@Helmsley, United Kingdom@54.24599@-1.06077
1440622969@Haverhill, United Kingdom@52.08514@0.43582
1439262473@Helmsley, United Kingdom@54.24599@-1.06077
8828577818@Akim Oda, Ghana@5.91204@-0.99615
8828577751@Akim Oda, Ghana@5.91204@-0.99615
8828577851@Akim Oda, Ghana@5.91204@-0.99615
8828577818@Akim Oda, Ghana@5.91204@-0.99615
8828577751@Akim Oda, Ghana@5.91204@-0.99615
8828577851@Akim Oda, Ghana@5.91204@-0.99615
4870831779@Tula region, Russian Federation@5.91204@-0.99615
8094082014@Dominican Republic, Dominican Republic@18.699574@-70.161735
9235805261@Kalix, Sweden@65.85512@23.14386
8095252014@Dominican Republic, Dominican Republic@18.699574@-70.161735
9236475261@Kalix, Sweden@65.85512@23.14386
3568365532@Tokat, Turkey@40.3234643@36.5521928
3568365532@Tokat, Turkey@40.3234643@36.5521928
1439657725@Helmsley, United Kingdom@54.24599@-1.06077
1437350407@Haverfordwest / Clynderwen, United Kingdom@51.84158799999999@-4.729585999999999
4897302904@Kadamath- Kavarathy, India@21.504394@82.71767
2965251130@Kushalgarh- Banswara, India@23.19897@74.45127
4962377778@Mariannelund, Sweden@23.19897@74.45127
6119621130@Härnösand, Sweden@23.19897@74.45127
1488982854@Hungerford, United Kingdom@51.41349@-1.51593
1488040084@Hungerford, United Kingdom@51.41349@-1.51593
1488982854@Hungerford, United Kingdom@51.41349@-1.51593
9601530136@Arvidsjaur, Sweden@65.58977@19.18465
3550672272@Vyshnivets, Ukraine@49.90613800000001@25.7444554
6349621000@Jhajha- Monghyr, India@25.367186@86.477451
4445991516@Kerki, Turkmenistan@38.05111@64.90678
4445991516@Kerki, Turkmenistan@38.05111@64.90678
6833992004@Taknes, Libya@32.48122@21.1269
3550672272@Vyshnivets, Ukraine@49.90613800000001@25.7444554
6833992004@Taknes, Libya@32.48122@21.1269
3550672272@Vyshnivets, Ukraine@49.90613800000001@25.7444554
2554115148@Malegaon- Nasik, India@20.5547497@74.5100291
4452011002@Darganata, Turkmenistan@40.85358@61.97246899999999
6409091001@Krokom, Sweden@63.3262424@14.4486544
6749386502@Juan E. O'Leary, Paraguay@63.3262424@14.4486544
8698751001@Saint Kitts and Nevis, Saint Kitts and Nevis@17.257726@-62.706409
2842354507@Talaja- Bhavnagar, India@21.3516@72.03647
6931529001@Bräcke-Gällö, Sweden@21.3516@72.03647
1359701001@Pakenham, United Kingdom@52.27161@0.81639
5844448913@Powayan- Sahjahanpur, India@28.06729@80.09707
9693565645@F.R. Lakki Marwat, Pakistan@32.60816@70.91458
1741114894@Pehowa- Karnal, India@29.8842275@76.6210395
5983117506@Taki District- Mie, Japan@34.382805@136.377014
7947599183@Kefermarkt, Austria@48.44281@14.53754
9838295124@Chetumal- Q.Roo, Mexico@18.5001889@-88.296146
2555135148@Satana- Nasik, India@20.591961@74.199417
4453401002@Darganata, Turkmenistan@40.85358@61.97246899999999
6750286502@Rko Branco, Uruguay@40.85358@61.97246899999999
8699631001@Akaiwa District- Okayama, Japan@34.744595@134.058106
2843354507@Gariadhar- Bhavnagar, India@21.5402@71.57666
6932519001@Bräcke-Gällö, Sweden@21.5402@71.57666
1361031001@Duns, United Kingdom@55.77572@-2.34111
5846058913@Laxå, Sweden@55.77572@-2.34111
9694505645@F.R. Lakki Marwat, Pakistan@32.60816@70.91458
1742064894@Alunda, Sweden@32.60816@70.91458
4110063777@Ystad, Sweden@55.4295051@13.8200308
5983887506@Taki District- Mie, Japan@34.382805@136.377014
7948589183@Hirschbach im Mühlkreis, Austria@34.382805@136.377014
9839785124@Chetumal- Q.Roo, Mexico@18.5001889@-88.296146
3550672272@Vyshnivets, Ukraine@49.90613800000001@25.7444554
1911301873@Tyneside / Durham / Sunderland, United Kingdom@54.8915636@-1.4088889
1911301873@Tyneside / Durham / Sunderland, United Kingdom@54.8915636@-1.4088889
5589661003@Nkayi, Zimbabwe@-19.00988@28.89574
7465091014@Sapotra- Sawaimadhopur, India@26.0722171@76.2578881
6651361000@Birmaharajpur- Balangir, India@20.70638@83.48976
8612641010@Krasnodar, Russian Federation@45.059849@39.004379
7466031014@Bonli- Sawaimadhopur, India@26.32553@76.2274
6652411000@Balangir- Balangir, India@20.70638@83.48976
8613691010@Bantio, Sudan@13.316641@30.336371
1063995361@Johannesburg, South Africa@-26.20489@28.04001
1063995361@Johannesburg, South Africa@-26.20489@28.04001
9968121003@Shangla, Pakistan@30.44185@69.359701
1897231012@Pangi (Killar)- Kandra (Dharamsala), India@32.217529@76.335018
3826431015@Ambasa- Tripura (Agartala), India@23.83145@91.28718
5976111000@Winschoten, Netherlands@53.14661@7.04508
8332781010@Kirov, Russian Federation@58.6035321@49.6667983
9969231003@Satsuma District- Kagoshima, Japan@31.925535@130.482811
1898331012@Dete, Zimbabwe@-18.6236377@26.8615857
3827471015@Aimogasta, Argentina@-28.5535@-66.81282
5977531000@Winschoten, Netherlands@53.14661@7.04508
8333951010@Hukkeri (Sankeshwar)- Belgaum, India@16.25956@74.4855
3550672272@Vyshnivets, Ukraine@49.90613800000001@25.7444554
2431398310@Paithan- Aurangabad, India@19.47498@75.38534
6424251013@Banka- Bhagalpur, India@24.95449@87.10552
2007871007@London, United Kingdom@51.50643@-0.12721
7964041015@Asago District- Hyogo, Japan@34.91493@134.860664
3978651007@Tkibuli, Georgia@42.34141229999999@42.994164
6598369949@Abraham Gonzalez, Mexico@19.3867819@-99.2034047
5907081010@Filipstad, Sweden@59.7139973@14.1698445
7826781007@Patan- Durg, India@21.0357648@81.5456384
9825751010@Candelaria, Mexico@18.18473@-91.04631
1859718918@Harris, United Kingdom@57.84743@-6.83304
3806481007@Chowkhem- Arunachal Pradesh (Zero), India@27.81143@96.09115
7530369875@Sheopurkalan- Morena, India@26.1806077@77.46446069999999
1479191007@Grantown-on-Spey, United Kingdom@57.33041@-3.609628
3446111013@Gualeguaychu, Argentina@57.33041@-3.609628
5461891001@Ghosi- Azamgarh, India@26.15998@83.45295
7430901013@Khanpur- Jhalawar, India@24.73205@76.39553
1776401013@Stranraer, United Kingdom@54.90565@-5.01638
3773461000@Johanngeorgenstadt, Germany@50.43299@12.71217
1814641004@Spijkenisse, Netherlands@51.84958@4.32509
3811631007@Eksjö, Sweden@51.84958@4.32509
6897501010@Kadoma (Gatooma), Zimbabwe@-18.33819@29.902809
8741831007@Sudhimalla (Tekulapalli)- Khammam, India@17.2413@80.155693
2373101008@Mahaswad- Satara, India@17.6334395@74.7871061
4275361007@Ehrenburg, Germany@52.74791@8.70454
7962591007@Asago District- Hyogo, Japan@34.91493@134.860664
2309021007@Waltrop, Germany@51.6216271@7.403079699999999
2233211007@Hürth Rheinl, Germany@51.6216271@7.403079699999999
6560121015@Alushta, Ukraine@44.67453@34.40279
3948071015@Tuva region, Russian Federation@44.67453@34.40279
4468551015@Skvyra, Ukraine@49.73676@29.64871
3946801015@Kyzyl-Suu (Jety-Oguz district), Kyrgyz Republic@41.20554@74.779899
6425291013@Katoria- Bhagalpur, India@24.894251@86.909973
8290591017@Barkhan, Pakistan@29.96111@69.48266
2008851007@London, United Kingdom@51.50643@-0.12721
7965081015@Asago District- Hyogo, Japan@34.91493@134.860664
3979701007@Tkibuli, Georgia@42.34141229999999@42.994164
6599409949@Abraham Gonzalez, Mexico@19.3867819@-99.2034047
3993669799@San Jacinto, Uruguay@-34.54699@-55.87414
5833411013@Sahaswan- Badaun, India@28.06954@78.756241
1531461007@Ledbury, United Kingdom@52.03957@-2.42459
3565451007@Nagarakata- Jalpaiguri, India@26.8701@88.8951
6374551007@Chirundu, Zimbabwe@-16.04311@28.86339
8274801008@Virajpet- Kodagu (Madikera), India@15.83876@76.04121
2227301007@Bornheim-Merten, Germany@50.77938@6.92744
4367651013@Mannargudi- Thanjavur, India@10.48917@79.39725
6223009949@Motipur- Muzaffarpur, India@26.25629@85.16528
8292281010@Barkhan, Pakistan@29.96111@69.48266
4441721010@Kerki, Turkmenistan@38.05111@64.90678
